 MUN,AÑO,SEXO,NOM_ENT,EDAD_QUIN,PORCENTAJE
"Álvaro Obregón","2027","Hombres","Ciudad de México","15 a 19 años","0.266221145752131"
"Álvaro Obregón","2027","Hombres","Ciudad de México","20 a 24 años","0.293540044454376"
"Álvaro Obregón","2027","Hombres","Ciudad de México","25 a 29 años","0.310204234418024"
"Álvaro Obregón","2027","Hombres","Ciudad de México","30 a 34 años","0.329123389194073"
"Álvaro Obregón","2027","Hombres","Ciudad de México","35 a 39 años","0.333746067059497"
"Álvaro Obregón","2027","Hombres","Ciudad de México","40 a 44 años","0.309031652715575"
"Álvaro Obregón","2027","Hombres","Ciudad de México","45 a 49 años","0.274744912743009"
"Álvaro Obregón","2027","Hombres","Ciudad de México","50 a 54 años","0.259783221212725"
"Álvaro Obregón","2027","Hombres","Ciudad de México","55 a 59 años","0.24212684673162"
"Álvaro Obregón","2027","Hombres","Ciudad de México","60 a 64 años","0.212857403466648"
"Álvaro Obregón","2027","Hombres","Ciudad de México","65 y más","0.47784959339602"
"Álvaro Obregón","2028","Hombres","Ciudad de México","Hasta 4 años","0.212625966319685"
"Álvaro Obregón","2028","Hombres","Ciudad de México","5 a 9 años","0.222377686615911"
"Álvaro Obregón","2028","Hombres","Ciudad de México","10 a 14 años","0.235444086780808"
"Álvaro Obregón","2028","Hombres","Ciudad de México","15 a 19 años","0.26053610025764"
"Álvaro Obregón","2028","Hombres","Ciudad de México","20 a 24 años","0.288852290398538"
"Álvaro Obregón","2028","Hombres","Ciudad de México","25 a 29 años","0.306149715378734"
"Álvaro Obregón","2028","Hombres","Ciudad de México","30 a 34 años","0.323662085469869"
"Álvaro Obregón","2028","Hombres","Ciudad de México","35 a 39 años","0.333572186374154"
"Álvaro Obregón","2028","Hombres","Ciudad de México","40 a 44 años","0.311806165666569"
"Álvaro Obregón","2028","Hombres","Ciudad de México","45 a 49 años","0.276498602969908"
"Álvaro Obregón","2028","Hombres","Ciudad de México","50 a 54 años","0.258816539370138"
"Álvaro Obregón","2028","Hombres","Ciudad de México","55 a 59 años","0.244754603954583"
"Álvaro Obregón","2028","Hombres","Ciudad de México","60 a 64 años","0.216110339696991"
"Álvaro Obregón","2028","Hombres","Ciudad de México","65 y más","0.49357053921583"
"Álvaro Obregón","2029","Hombres","Ciudad de México","Hasta 4 años","0.208594544864347"
"Álvaro Obregón","2029","Hombres","Ciudad de México","5 a 9 años","0.218404347104865"
"Álvaro Obregón","2029","Hombres","Ciudad de México","10 a 14 años","0.231654392492231"
"Álvaro Obregón","2029","Hombres","Ciudad de México","15 a 19 años","0.254589346804553"
"Álvaro Obregón","2029","Hombres","Ciudad de México","20 a 24 años","0.283848444459432"
"Álvaro Obregón","2029","Hombres","Ciudad de México","25 a 29 años","0.302412132727078"
"Álvaro Obregón","2029","Hombres","Ciudad de México","30 a 34 años","0.317887549919007"
"Álvaro Obregón","2029","Hombres","Ciudad de México","35 a 39 años","0.332148095768649"
"Álvaro Obregón","2029","Hombres","Ciudad de México","40 a 44 años","0.314049918949915"
"Álvaro Obregón","2029","Hombres","Ciudad de México","45 a 49 años","0.278909481525838"
"Álvaro Obregón","2029","Hombres","Ciudad de México","50 a 54 años","0.257768449382499"
"Álvaro Obregón","2029","Hombres","Ciudad de México","55 a 59 años","0.246789191550808"
"Álvaro Obregón","2029","Hombres","Ciudad de México","60 a 64 años","0.219403493629362"
"Álvaro Obregón","2029","Hombres","Ciudad de México","65 y más","0.509258171173556"
"Álvaro Obregón","2030","Hombres","Ciudad de México","Hasta 4 años","0.204469864659392"
"Álvaro Obregón","2030","Hombres","Ciudad de México","5 a 9 años","0.214397578139426"
"Álvaro Obregón","2030","Hombres","Ciudad de México","10 a 14 años","0.228223429403813"
"Álvaro Obregón","2030","Hombres","Ciudad de México","15 a 19 años","0.24834101182891"
"Álvaro Obregón","2030","Hombres","Ciudad de México","20 a 24 años","0.278637065135375"
"Álvaro Obregón","2030","Hombres","Ciudad de México","25 a 29 años","0.298743249496775"
"Álvaro Obregón","2030","Hombres","Ciudad de México","30 a 34 años","0.312238556913951"
"Álvaro Obregón","2030","Hombres","Ciudad de México","35 a 39 años","0.32933565245936"
"Álvaro Obregón","2030","Hombres","Ciudad de México","40 a 44 años","0.31566937408673"
"Álvaro Obregón","2030","Hombres","Ciudad de México","45 a 49 años","0.281725940397245"
"Álvaro Obregón","2030","Hombres","Ciudad de México","50 a 54 años","0.257014938302281"
"Álvaro Obregón","2030","Hombres","Ciudad de México","55 a 59 años","0.248101652491275"
"Álvaro Obregón","2030","Hombres","Ciudad de México","60 a 64 años","0.222740960765585"
"Álvaro Obregón","2030","Hombres","Ciudad de México","65 y más","0.524880833244049"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","Hasta 4 años","0.265721457325052"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","5 a 9 años","0.284609306333534"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","10 a 14 años","0.299953613827274"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","15 a 19 años","0.322804489015794"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","20 a 24 años","0.352974267706724"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","25 a 29 años","0.358659388828505"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","30 a 34 años","0.35251062676087"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","35 a 39 años","0.349485921542679"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","40 a 44 años","0.336724756461554"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","45 a 49 años","0.301874412031527"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","50 a 54 años","0.2720137273045"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","55 a 59 años","0.235308819091056"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","60 a 64 años","0.185699237884676"
"Álvaro Obregón","2015","Mujeres","Ciudad de México","65 y más","0.424628871981449"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","Hasta 4 años","0.259465716220142"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","5 a 9 años","0.279070332527427"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","10 a 14 años","0.295449851391486"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","15 a 19 años","0.3173407525301"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","20 a 24 años","0.348012312803526"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","25 a 29 años","0.3568813307724"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","30 a 34 años","0.352220402275682"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","35 a 39 años","0.348730228330272"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","40 a 44 años","0.338513738141968"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","45 a 49 años","0.306163360021383"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","50 a 54 años","0.27645270206837"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","55 a 59 años","0.242125295035669"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","60 a 64 años","0.193053007569039"
"Álvaro Obregón","2016","Mujeres","Ciudad de México","65 y más","0.439684603141819"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","Hasta 4 años","0.254246671984331"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","5 a 9 años","0.273828760164286"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","10 a 14 años","0.291001765261155"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","15 a 19 años","0.312374089493679"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","20 a 24 años","0.342111899478025"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","25 a 29 años","0.354334128330751"
"Álvaro Obregón","2017","Mujeres","Ciudad de México","30 a 34 años","0.351681926771389"
